Kategori / Indikator,Sub Indikator,Satuan,2020,2021,2022,2023,2024
Nilai Produksi Buah-Buahan,Rambutan,Rp,13570116000.0,22785806775.0,15578605627.0,125383160.0,11054404419.0
Nilai Produksi Buah-Buahan,Duku,Rp,1696000000.0,1604288250.0,3461843700.0,45964500.0,1640177840.0
Nilai Produksi Buah-Buahan,Jeruk Siam,Rp,77897885000.0,7464.32,305244456090.0,3889671367.0,499209225155.0
Nilai Produksi Buah-Buahan,Durian,Rp,4773621600.0,2682582216.0,44229071226.0,564664668.0,55154644092.0
Nilai Produksi Buah-Buahan,Jambu Air,Rp,1055491000.0,1598821040.0,7318124851.0,126294480.0,9939463327.0
Nilai Produksi Buah-Buahan,Jambu Biji,Rp,1801184400.0,4625336064.0,7345297453.0,96129378.0,8067760522.0
Nilai Produksi Buah-Buahan,Sawo,Rp,2260062800.0,2371916593.0,3047597044.0,82696390.0,7915056979.0
Nilai Produksi Buah-Buahan,Pepaya,Rp,18199263800.0,16382657760.0,7103518566.0,106028384.0,5085.0
Nilai Produksi Buah-Buahan,Pisang,Rp,64479826400.0,91009550136.0,335544258092.0,1754907378.0,218666541149.0
Nilai Produksi Buah-Buahan,Nanas,Rp,0.0,0.0,3000000.0,7728000.0,604260000.0
Nilai Produksi Buah-Buahan,Salak,Rp,1417991400.0,503551338.0,1259063681.0,14405184.0,2565032250.0
Nilai Produksi Buah-Buahan,Belimbing,Rp,31584602900.0,67887446400.0,75495094770.0,299976168.0,48476636556.0
Nilai Produksi Buah-Buahan,Nangka,Rp,9774156800.0,15294304627.0,12509.4,179782332.0,25438609095.0
Nilai Produksi Buah-Buahan,Manggis,Rp,614880000.0,332704008.0,12509.4,529136250.0,337337500.0
Nilai Produksi Buah-Buahan,Sirsak,Rp,325121700.0,623262150.0,12509.4,12977124.0,1608726350.0
Nilai Produksi Buah-Buahan,Sukun,Rp,2570833500.0,2938835146.0,12509.4,45625294.0,5476220398.0
Nilai Produksi Sayuran,Bawang Merah,Rp,63719214090.91,54955652083.33,12509.4,418139596.0,38462735000.0
Nilai Produksi Sayuran,Bawang Putih,Rp,0.0,0.0,12509.4,0.0,0.0
Nilai Produksi Sayuran,Bawang Daun,Rp,212978666.67,2021560000.0,12509.4,23029116.0,2205778000.0
Nilai Produksi Sayuran,Kentang,Rp,37800000.0,0.0,12509.4,0.0,252000000.0
Nilai Produksi Sayuran,Kobis,Rp,848909000.0,5660328939.39,12509.4,98974920.0,15927843000.0
Nilai Produksi Sayuran,Kembang Kol,Rp,45000000.0,0.0,12509.4,0.0,0.0
Nilai Produksi Sayuran,Petsay/ Sawi,Rp,4756753928.57,6467163787.88,12509.4,97953896.0,11217576000.0
Nilai Produksi Sayuran,Wortel,Rp,65925000.0,2673290000.0,12509.4,7967016.0,1975929000.0
Nilai Produksi Sayuran,Lobak,Rp,0.0,0.0,12509.4,0.0,0.0
Nilai Produksi Sayuran,Kacang Merah,Rp,0.0,0.0,12509.4,0.0,0.0
Nilai Produksi Sayuran,Kacang Panjang,Rp,870098821.43,1401850000.0,12509.4,5883072.0,68183000.0
Nilai Produksi Sayuran,Cabe Besar,Rp,7375875959.6,7310230467.17,12509.4,130703515.0,15625069000.0
Nilai Produksi Sayuran,Cabe Rawit,Rp,25069361111.11,58489725188.85,12509.4,568627735.0,32873032000.0
Nilai Produksi Sayuran,Tomat,Rp,976556142.86,1867155833.33,12509.4,11510784.0,3612989000.0
Nilai Produksi Sayuran,Terong,Rp,708514583.33,471448993.51,12509.4,10118752.0,490743000.0
Nilai Produksi Sayuran,Buncis,Rp,129772285.71,6133333.33,12509.4,0.0,0.0
Nilai Produksi Sayuran,Mentimun,Rp,233268000.0,53675000.0,12509.4,2559105.0,113238000.0
Nilai Produksi Sayuran,Labu Siam,Rp,497804000.0,569338181.82,12509.4,1661700.0,399028000.0
Nilai Produksi Sayuran,Kangkung,Rp,3451118333.33,19257923571.43,12509.4,20326152.0,2278760000.0
Nilai Produksi Sayuran,Bayam,Rp,1236367500.0,1631387500.0,12509.4,37265625.0,3257229000.0
Luas Bencana Alam pada Tanaman Pertanian,Padi,Ha,9469.0,7464.32,12509.4,3765.0,324.0
Luas Bencana Alam pada Tanaman Pertanian,Cabe,Ha,9469.0,7464.32,12509.4,3765.0,38.28
Luas Bencana Alam pada Tanaman Pertanian,Kacang Panjang,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Luas Bencana Alam pada Tanaman Pertanian,Terong,Ha,9469.0,7464.32,12509.4,3765.0,2.5
Luas Bencana Alam pada Tanaman Pertanian,Timun,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Luas Bencana Alam pada Tanaman Pertanian,Buncis,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Luas Bencana Alam pada Tanaman Pertanian,Jagung,Ha,9469.0,7464.32,12509.4,3765.0,5372.22
Luas Bencana Alam pada Tanaman Pertanian,Semangka,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Luas Bencana Alam pada Tanaman Pertanian,Bawang Merah,Ha,9469.0,7464.32,12509.4,3765.0,0.73
Luas Bencana Alam pada Tanaman Pertanian,Tomat,Ha,9469.0,7464.32,12509.4,3765.0,0.5
Luas Bencana Alam pada Tanaman Pertanian,Kacang Hijau,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Luas Bencana Alam pada Tanaman Pertanian,Kacang Tanah,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Luas Bencana Alam pada Tanaman Pertanian,Melon,Ha,9469.0,7464.32,12509.4,3765.0,0.63
Luas Bencana Alam pada Tanaman Pertanian,Kedelai,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Luas Bencana Alam pada Tanaman Pertanian,Ubi Jalar,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Luas Bencana Alam pada Tanaman Pertanian,Tembakau,Ha,9469.0,7464.32,12509.4,3765.0,0.0
Jumlah Petani Perkebunan,Kabupaten Tulungagung,KK,9469.0,7464.32,12509.4,3765.0,27545.0
Kontribusi sektor pertanian / perkebunan terhadap PDRB,Kabupaten Tulungagung,%,19.51,19.26,18.62,3765.0,5085.0
