No,Kategori / Indikator,Sub Indikator,Satuan,2020,2021,2022,2023,2024
78,Jumlah Produksi Sayuran,Bawang Putih,Kw,0,0,,0,0
79,Jumlah Produksi Sayuran,Bawang Daun,Kw,522,3.193.80,2.748.00,2.596.00,2.103.00
80,Jumlah Produksi Sayuran,Kentang,Kw,42,0,,0,180
81,Jumlah Produksi Sayuran,Kobis,Kw,3.666.00,20.068.00,36.763.00,32.010.00,51.765.00
82,Jumlah Produksi Sayuran,Kembang Kol,Kw,225,0,,0,0
83,Jumlah Produksi Sayuran,Petsay/ Sawi,Kw,15.136.00,22.878.00,22.049.00,20.122.00,24.050.00
84,Jumlah Produksi Sayuran,Wortel,Kw,131,4.534.00,1.635.00,1.173.00,3.090.00
85,Jumlah Produksi Sayuran,Lobak,Kw,0,0,,0,0
86,Jumlah Produksi Sayuran,Kacang Merah,Kw,0,0,,0,0
87,Jumlah Produksi Sayuran,Kacang Panjang,Kw,2.702.00,4.534.00,176.2,,149
88,Jumlah Produksi Sayuran,Cabe Besar,Kw,3.516.00,4.208.50,5.103.50,4.547.00,6.410.50
89,Jumlah Produksi Sayuran,Cabe Rawit,Kw,9.482.00,17.066.80,11.915.10,15.899.00,12.724.00
90,Jumlah Produksi Sayuran,Tomat,Kw,2.766.00,4.357.00,3.166.50,2.304.00,5.828.50
91,Jumlah Produksi Sayuran,Terong,Kw,3.297.00,1.770.00,2.524.30,,1.324.00
92,Jumlah Produksi Sayuran,Buncis,Kw,331,23,,0,0
93,Jumlah Produksi Sayuran,Mentimun,Kw,1.127.00,216,2.980.10,1.073.00,369
94,Jumlah Produksi Sayuran,Labu Siam,Kw,1.490.00,2.462.00,2.138.00,1.146.00,1.985.00
95,Jumlah Produksi Sayuran,Kangkung,Kw,12.493.00,8.739.00,,,6.459.00
96,Jumlah Produksi Sayuran,Bayam,Kw,4.917.00,6.908.00,7.277.30,,7.481.00
97,Nilai Produksi Buah-Buahan,Alpukat,Rp,13.046.943.200.00,22.866.010.354.00,39.313.769.418.75,676.727.068.00,151.012.141.983.00
98,Nilai Produksi Buah-Buahan,Mangga,Rp,26.000.180.800.00,40.458.372.136.00,150.993.507.110.00,426.668.292.00,56.520.757.305.00
99,Nilai Produksi Buah-Buahan,Rambutan,Rp,13.570.116.000.00,22.785.806.775.00,15.578.605.627.00,125.383.160.00,11.054.404.419.00
100,Nilai Produksi Buah-Buahan,Duku,Rp,1.696.000.000.00,1.604.288.250.00,3.461.843.700.00,45.964.500.00,1.640.177.840.00
101,Nilai Produksi Buah-Buahan,Jeruk Siam,Rp,77.897.885.000.00,,305.244.456.090.00,3.889.671.367.00,499.209.225.155.00
102,Nilai Produksi Buah-Buahan,Durian,Rp,4.773.621.600.00,2.682.582.216.00,44.229.071.226.00,564.664.668.00,55.154.644.092.00
103,Nilai Produksi Buah-Buahan,Jambu Air,Rp,1.055.491.000.00,1.598.821.040.00,7.318.124.851.00,126.294.480.00,9.939.463.327.00
104,Nilai Produksi Buah-Buahan,Jambu Biji,Rp,1.801.184.400.00,4.625.336.064.00,7.345.297.453.00,96.129.378.00,8.067.760.522.00
105,Nilai Produksi Buah-Buahan,Sawo,Rp,2.260.062.800.00,2.371.916.593.00,3.047.597.044.00,82.696.390.00,7.915.056.979.00
106,Nilai Produksi Buah-Buahan,Pepaya,Rp,18.199.263.800.00,16.382.657.760.00,7.103.518.566.00,106.028.384.00,-
107,Nilai Produksi Buah-Buahan,Pisang,Rp,64.479.826.400.00,91.009.550.136.00,335.544.258.092.00,1.754.907.378.00,218.666.541.149.00
108,Nilai Produksi Buah-Buahan,Nanas,Rp,0,0,3.000.000.00,7.728.000.00,604.260.000.00
109,Nilai Produksi Buah-Buahan,Salak,Rp,1.417.991.400.00,503.551.338.00,1.259.063.681.00,14.405.184.00,2.565.032.250.00
110,Nilai Produksi Buah-Buahan,Belimbing,Rp,31.584.602.900.00,67.887.446.400.00,75.495.094.770.00,299.976.168.00,48.476.636.556.00
